species,Experiment ID,Experiment name,Library count,Condition count,Organ-stage count,Organ count,Stage count,Sex count,Strain count,Data source,Data source URL,Bgee normalized data URL,Experiment description
Canis_lupus_familiaris,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,6,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Canis_lupus_familiaris/Canis_lupus_familiaris_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Cavia_porcellus,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,9,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Cavia_porcellus/Cavia_porcellus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Danio_rerio,SRP022612,RNA-seq of Danio rerio and Mus musculus skin for three different age groups,20,1,1,1,1,1,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP022612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP022612.tsv.zip,"Comparison of temporal gene expression profiles (www.jenage.de) The RNA-seq data comprises 3 age groups: 2, 15 and 30 months for mouse skin; 5, 24 and 42 months for zebrafish skin. Illumina 50bp single-stranded single-read RNA sequencing Overall design: 15 samples for mouse: 5 biological replicates for 2 months, 6 biological replicates for 15 months and 4 biological replicates for 30 months; 20 samples for zebrafish: 9 biological replicates for 5 months, 6 biological replicates for 24 months and 5 biological replicates for 42 months"
Danio_rerio,GSE39703,Transcriptomic analysis of zebrafish during development and homeostasis,16,5,5,3,4,0,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE39703,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE39703.tsv.zip,"Sequencing libraries were generated from total RNA samples following the mRNAseq protocol for the generation of single end (16-36 hpf, 5 day larvae, adult head and adult tail) or paired end (24 hpf) libraries (Illumina). Single end reads of 36 nucleotides and paired end reads (2 x 76 nucleotides) were obtained with a GAIIx (Illumina). Gene expression at the different stages/tissu was assessed by cufflinks and HTseq."
Danio_rerio,SRP044781,SRA - Transcriptome analysis of 12 zebrafish tissues,12,12,12,12,2,3,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP044781,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP044781.tsv.zip,Total RNA was qualified using an Agilent BioAnalyzer and 1 µg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)
Danio_rerio,GSE42846,Marker gene discovery for Staphylococcus epidermidis infection in zebrafish embryos (RNA-Seq),4,1,1,1,1,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42846,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE42846.tsv.zip,"We use the zebrafish embryo model to study the innate immune response against Staphylococcus epidermidis. Therefore, we injected S. epidermidis into the yolk at 2 hpf and took samples at 5 days post injection."
Danio_rerio,GSE71755,Telomerase is essential for zebrafish heart regeneration,4,1,1,1,1,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71755,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE71755.tsv.zip,"Unlike human hearts, zebrafish hearts efficiently regenerate after injury. Regeneration is driven by the strong proliferation response of its cardiomyocytes to injury. In this study, we show that active telomerase is required for cardiomyocyte proliferation and full organ recovery, supporting the potential of telomerase therapy as a means of stimulating cell proliferation upon myocardial infarction."
Danio_rerio,GSE63191,RNA sequencing of the developing zebrafish head,3,1,1,1,1,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63191,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE63191.tsv.zip,We sequenced strand-specific mRNA from the heads of 3 groups of wild type zebrafish (Danio rerio) 5 days post fertilization.
Danio_rerio,GSE68666,"Transcriptional profiling of zebrafish embryos developmentally exposed to oxygenated PAHs 1,9-benz-10-anthrone and benzanthracene-7,12-dione",3,1,1,1,1,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68666,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE68666.tsv.zip,"The purpose of this study was to identify transcripts differentially expressed in zebrafish embryos exposed to two oxygenated PAHs, 1,9-benz-10-anthrone and benzanthracene-7,12-dione, which cause abnormal development."
Danio_rerio,GSE71681,Yap and Taz regulate retinal pigment epithelial cell fate,3,1,1,1,1,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71681,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE71681.tsv.zip,"The optic vesicle comprises a pool of bi-potential progenitor cells from which the retinal pigment epithelium (RPE) and neural retina fates segregate during ocular morphogenesis. Several transcription factors and signaling pathways have been shown to be important for RPE maintenance and differentiation, but an understanding of the initial fate specification and determination of this ocular cell type is lacking. We show that Yap/Taz-Tead activity is necessary and sufficient for optic vesicle progenitors to adopt RPE identity in zebrafish. A Teadresponsive transgene is expressed within the domain of the optic cup from which RPE arises, and Yap immunoreactivity localizes to the nuclei of prospective RPE cells. yap (yap1) mutants lack a subset of RPE cells and/or exhibit coloboma. Loss of RPE in yap mutants is exacerbated in combination with taz (wwtr1) mutant alleles such that, when Yap and Taz are both absent, optic vesicle progenitor cells completely lose their ability to form RPE. The mechanism of Yap dependent RPE cell type determination is reliant on both nuclear localization of Yap and interaction with a Tead co-factor. In contrast to loss of Yap and Taz, overexpression of either protein within optic vesicle progenitors leads to ectopic pigmentation in a dosagedependent manner. Overall, this study identifies Yap and Taz as key early regulators of RPE genesis and provides a mechanistic framework for understanding the congenital ocular defects of Sveinsson�â��s chorioretinal atrophy and congenital retinal coloboma."
Danio_rerio,GSE63133,Spring Varaemia of Carp Virus (SVCV) infection of adult zebrafish,2,2,2,2,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63133,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_GSE63133.tsv.zip,"During viral infection, a large number of immune response signaling molecules including the interferon regulatory (IRF) family and type I interferon (IFN) transcribe. The exact identity and expression levels of fish IRFs and type-I IFNs during viral infection remains largely unknown. Here, we utilized Illumina sequencing technology to determine differential expression patterns for both zebrafish IRFs and type-I IFNs during two stages of SVCV infection, i.e. 6h and 24h post-infection. For 12 zebrafish IRFs, we identified DrIRF1 mRNA as one of the most abundant in normal tissues and also in SVCV-infected tissues, but DrIRF11 had a very weak basal expression and was almost not induced by SVCV infection. We also identified the highly basal expression of DrIRF7, which together with DrIRF3, was highly induced by SVCV infection. For type-I IFNs, zebrafish has four IFN genes, three of which, IFN1/2/3, particularly IFN 1 and IFN 3, were significantly transcribed under the same conditions."
Drosophila_ananassae,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,4,2,1,1,1,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_ananassae/Drosophila_ananassae_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_melanogaster,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,8,4,2,2,2,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_melanogaster,GSE38998,RNA sequencing in fly heads to examine the effect of spermidine feeding on transcription in the ageing fly brain.,4,2,2,1,2,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38998,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_GSE38998.tsv.zip,mRNA profiles from 3 and 10 day old Drosophila melanogaster heads were generated in duplicate by deep sequencing using Illumina GAIIx. mRNA profiles from flies that were fed food with 5mM spermidine were compared to profiles from flies that had no spermidine in thier food.
Drosophila_melanogaster,GSE49587,Developmental arrest of Drosophila survival motor neuron (Smn) mutants accounts for differences in expression of minor intron-containing genes,2,1,1,1,1,0,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49587,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_GSE49587.tsv.zip,RNA-seq was used to analyze mRNA levels and splicing differences between wild-type (Oregon R) and Smn null mutant larvae.
Drosophila_mojavensis,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,8,4,2,2,2,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_mojavensis/Drosophila_mojavensis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_pseudoobscura,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,14,8,5,5,2,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_simulans,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,17,8,4,4,1,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_virilis,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,4,2,1,1,1,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_virilis/Drosophila_virilis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Drosophila_yakuba,GSE44612,Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models,4,2,1,1,1,2,11,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_yakuba/Drosophila_yakuba_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,NA
Equus_caballus,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,8,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Erinaceus_europaeus,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,6,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Erinaceus_europaeus/Erinaceus_europaeus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Felis_catus,GSE43013,Gene Expression Defines Natural Changes in Mammalian Lifespan,9,3,3,3,1,1,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Felis_catus/Felis_catus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
Gallus_gallus,GSE41637,Evolutionary dynamics of gene and isoform regulation in mammalian tissues,24,9,9,9,1,1,6,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41637,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gallus_gallus/Gallus_gallus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,"Most mammalian genes produce multiple distinct mRNAs through alternative splicing, but the extent of splicing conservation is not clear. To assess tissue-specific transcriptome variation across mammals, we sequenced cDNA from 9 tissues from 4 mammals and one bird in biological triplicate, at unprecedented depth. We find that while tissue-specific gene expression programs are largely conserved, alternative splicing is well conserved in only a subset of tissues and is frequently lineage-specific. Thousands of novel, lineage-specific and conserved alternative exons were identified; widely conserved alternative exons had signatures of binding by MBNL, PTB, RBFOX, STAR and TIA family splicing factors, implicating them as ancestral mammalian splicing regulators. Our data also indicates that alternative splicing is often used to alter protein phosphorylatability, delimiting the scope of kinase signaling."
Gallus_gallus,GSE30352,The evolution of gene expression levels in mammalian organs,12,11,6,6,1,2,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30352,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gallus_gallus/Gallus_gallus_RNA-Seq_read_counts_TPM_FPKM_GSE30352.tsv.zip,"Changes in gene expression are thought to underlie many of the phenotypic differences between species. However, large-scale analyses of gene expression evolution were until recently prevented by technological limitations. Here we report the sequencing of polyadenylated RNA from six organs across ten species that represent all major mammalian lineages (placentals, marsupials and monotremes) and birds (the evolutionary outgroup), with the goal of understanding the dynamics of mammalian transcriptome evolution. We show that the rate of gene expression evolution varies among organs, lineages and chromosomes, owing to differences in selective pressures: transcriptome change was slow in nervous tissues and rapid in testes, slower in rodents than in apes and monotremes, and rapid for the X chromosome right after its formation. Although gene expression evolution in mammals was strongly shaped by purifying selection, we identify numerous potentially selectively driven expression switches, which occurred at different rates across lineages and tissues and which probably contributed to the specific organ biology of various mammals. Our transcriptome data provide a valuable resource for functional and evolutionary analyses of mammalian genomes."
Gallus_gallus,GSE41338,The evolutionary landscape of alternative splicing in vertebrate species,5,5,5,5,1,1,1,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41338,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gallus_gallus/Gallus_gallus_RNA-Seq_read_counts_TPM_FPKM_GSE41338.tsv.zip,"How species with similar repertoires of protein coding genes differ so dramatically at the phenotypic level is poorly understood. From comparing the transcriptomes of multiple organs from vertebrate species spanning ~350 million years of evolution, we observe significant differences in alternative splicing complexity between the main vertebrate lineages, with the highest complexity in the primate lineage. Moreover, within as little as six million years, the splicing profiles of physiologically-equivalent organs have diverged to the extent that they are more strongly related to the identity of a species than they are to organ type. Most vertebrate species-specific splicing patterns are governed by the highly variable use of a largely conserved cis-regulatory code. However, a smaller number of pronounced species-dependent splicing changes are predicted to remodel interactions involving factors acting at multiple steps in gene regulation. These events are expected to further contribute to the dramatic diversification of alternative splicing as well as to other gene regulatory changes that contribute to phenotypic differences among vertebrate species."
Gallus_gallus,GSE43520,The evolution of lncRNA repertoires and expression patterns in tetrapods,4,3,3,3,1,2,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43520,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gallus_gallus/Gallus_gallus_RNA-Seq_read_counts_TPM_FPKM_GSE43520.tsv.zip,"To broaden our understanding of lncRNA evolution, we used an extensive RNA-seq dataset to establish lncRNA repertoires and homologous gene families in 11 tetrapod species. We analyzed the poly- adenylated transcriptomes of 8 organs (cortex/whole brain without cerebellum, cerebellum, heart, kidney, liver, placenta, ovary and testis) and 11 species (human, chimpanzee, bonobo, gorilla, orangutan, macaque, mouse, opossum, platypus, chicken and the frog Xenopus tropicalis), which shared a common ancestor ~370 millions of years (MY) ago. Our dataset included 47 strand-specific samples, which allowed us to confirm the orientation of gene predictions and to address the evolution of sense-antisense transcripts. See also GSE43721 (Soumillon et al, Cell Reports, 2013) for three strand-specific samples for mouse brain, liver and testis."
Gorilla_gorilla,GSE30352,The evolution of gene expression levels in mammalian organs,11,10,11,6,2,2,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30352,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gorilla_gorilla/Gorilla_gorilla_RNA-Seq_read_counts_TPM_FPKM_GSE30352.tsv.zip,"Changes in gene expression are thought to underlie many of the phenotypic differences between species. However, large-scale analyses of gene expression evolution were until recently prevented by technological limitations. Here we report the sequencing of polyadenylated RNA from six organs across ten species that represent all major mammalian lineages (placentals, marsupials and monotremes) and birds (the evolutionary outgroup), with the goal of understanding the dynamics of mammalian transcriptome evolution. We show that the rate of gene expression evolution varies among organs, lineages and chromosomes, owing to differences in selective pressures: transcriptome change was slow in nervous tissues and rapid in testes, slower in rodents than in apes and monotremes, and rapid for the X chromosome right after its formation. Although gene expression evolution in mammals was strongly shaped by purifying selection, we identify numerous potentially selectively driven expression switches, which occurred at different rates across lineages and tissues and which probably contributed to the specific organ biology of various mammals. Our transcriptome data provide a valuable resource for functional and evolutionary analyses of mammalian genomes."
Gorilla_gorilla,GSE43520,The evolution of lncRNA repertoires and expression patterns in tetrapods,2,2,2,2,2,2,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43520,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Gorilla_gorilla/Gorilla_gorilla_RNA-Seq_read_counts_TPM_FPKM_GSE43520.tsv.zip,"To broaden our understanding of lncRNA evolution, we used an extensive RNA-seq dataset to establish lncRNA repertoires and homologous gene families in 11 tetrapod species. We analyzed the poly- adenylated transcriptomes of 8 organs (cortex/whole brain without cerebellum, cerebellum, heart, kidney, liver, placenta, ovary and testis) and 11 species (human, chimpanzee, bonobo, gorilla, orangutan, macaque, mouse, opossum, platypus, chicken and the frog Xenopus tropicalis), which shared a common ancestor ~370 millions of years (MY) ago. Our dataset included 47 strand-specific samples, which allowed us to confirm the orientation of gene predictions and to address the evolution of sense-antisense transcripts. See also GSE43721 (Soumillon et al, Cell Reports, 2013) for three strand-specific samples for mouse brain, liver and testis."
Homo_sapiens,GSE30611,[E-MTAB-513] Illumina Human Body Map 2.0 Project,48,17,17,17,12,2,2,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30611,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE30611.tsv.zip,Transcription profiling by high throughput sequencing of individual and mixture of 16 human tissues RNA.
Homo_sapiens,GSE64283,Tissue-specific circular RNA induction during human fetal development,35,16,24,6,7,0,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64283,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE64283.tsv.zip,NA
Homo_sapiens,GSE58608,The human skeletal muscle transcriptome assessed with RNA sequencing,24,2,1,1,1,2,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58608,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE58608.tsv.zip,"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."
Homo_sapiens,GSE58387,"The human skeletal muscle transcriptome - sex differences, alternative splicing and tissue homogeneity assessed with RNA sequencing",21,2,1,1,1,2,0,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58387,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE58387.tsv.zip,"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."
