species,Experiment ID,Library ID,Anatomical entity ID,Anatomical entity name,Stage ID,Stage name,Sex,Strain,Platform ID,Library type,Library orientation,TPM expression threshold,FPKM expression threshold,Read count,Mapped read count,Min. read length,Max. read length,All genes percent present,Protein coding genes percent present,Intergenic regions percent present,Run IDs,Data source,Data source URL,Bgee normalized data URL,Raw file URL
Bos_taurus,GSE41637,SRX196346,UBERON:0000948,heart,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.042735,0.0487,117554231,103359659,0,0,61.76,71.07,21.22,SRR594475,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196346,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196346
Bos_taurus,GSE41637,SRX196355,UBERON:0000948,heart,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.209092,0.137274,21185451,14751171,0,0,54.64,66.39,21.66,SRR594484,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196355,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196355
Bos_taurus,GSE41637,SRX196364,UBERON:0000948,heart,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.195224,0.139319,37897106,21517785,0,0,54.68,66.02,23.09,SRR594493,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196364,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196364
Bos_taurus,GSE41637,SRX196344,UBERON:0000955,brain,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.305766,0.298865,104353205,74698037,0,0,66.4,73.92,23.66,SRR594473,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196344,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196344
Bos_taurus,GSE41637,SRX196353,UBERON:0000955,brain,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.782519,0.430225,28445194,15373642,0,0,55.02,66.78,23.51,SRR594482,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196353,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196353
Bos_taurus,GSE41637,SRX196362,UBERON:0000955,brain,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.64331,0.373786,33628113,15004995,0,0,55.42,67.18,23.23,SRR594491,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196362,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196362
Bos_taurus,GSE41637,SRX196350,UBERON:0001134,skeletal muscle tissue,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.123043,0.10916,113227169,93591421,0,0,58.13,67.52,19.98,SRR594479,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196350,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196350
Bos_taurus,GSE41637,SRX196359,UBERON:0001134,skeletal muscle tissue,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.128375,0.080267,27439293,19064778,0,0,57.94,70.15,22.73,SRR594488,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196359,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196359
Bos_taurus,GSE41637,SRX196368,UBERON:0001134,skeletal muscle tissue,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.210315,0.12072,24842489,17334982,0,0,60.79,73.61,24.9,SRR594497,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196368,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196368
Bos_taurus,GSE41637,SRX196345,UBERON:0001155,colon,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.207961,0.19764,119761742,87209020,0,0,67.07,76.26,24.01,SRR594474,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196345,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196345
Bos_taurus,GSE41637,SRX196354,UBERON:0001155,colon,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.393533,0.254838,32336017,13836428,0,0,54.81,66.35,21.55,SRR594483,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196354,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196354
Bos_taurus,GSE41637,SRX196363,UBERON:0001155,colon,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.178405,0.133075,23173287,16064559,0,0,58.35,70.5,22.52,SRR594492,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196363,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196363
Bos_taurus,GSE41637,SRX196349,UBERON:0002048,lung,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.272199,0.238947,103196444,75684028,0,0,66.79,75.03,24.96,SRR594478,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196349,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196349
Bos_taurus,GSE41637,SRX196358,UBERON:0002048,lung,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.350129,0.203963,22498703,13887342,0,0,59.65,72.1,25.32,SRR594487,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196358,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196358
Bos_taurus,GSE41637,SRX196367,UBERON:0002048,lung,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.3911,0.22499,35817736,19772854,0,0,60.06,72.38,25.68,SRR594496,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196367,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196367
Bos_taurus,GSE41637,SRX196351,UBERON:0002106,spleen,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.461409,0.456472,116884523,77447599,0,0,61.6,68.98,22.27,SRR594480,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196351,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196351
Bos_taurus,GSE41637,SRX196360,UBERON:0002106,spleen,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.558408,0.352642,24283167,13107330,0,0,56.47,68.26,23.5,SRR594489,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196360,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196360
Bos_taurus,GSE41637,SRX196369,UBERON:0002106,spleen,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.691965,0.504672,31925721,17582050,0,0,50.75,61.28,19.54,SRR594498,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196369,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196369
Bos_taurus,GSE41637,SRX196348,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.242744,0.238664,103019718,78906785,0,0,61.63,68.87,21.43,SRR594477,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196348,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196348
Bos_taurus,GSE41637,SRX196357,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.407001,0.241777,26021524,17142750,0,0,51.82,62.84,21.18,SRR594486,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196357,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196357
Bos_taurus,GSE41637,SRX196366,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,NA,Illumina HiSeq 2000,paired,NA,0.363329,0.212672,29192793,19351945,0,0,51.43,62.32,21.36,SRR594495,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX196366,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX196366
Bos_taurus,GSE43013,SRX211629,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.196614,0.221891,14625826,11316316,0,0,64.56,74.84,25.17,SRR636889,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211629,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211629
Bos_taurus,GSE43013,SRX211630,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.268021,0.230126,24332279,18641928,0,0,64.98,74.83,25.13,SRR636890,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211630,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211630
Bos_taurus,GSE43013,SRX211674,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.364574,0.274659,26655022,19541841,0,0,65.04,74.95,25.21,SRR636934,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211674,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211674
Bos_taurus,GSE43013,SRX211675,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.504429,0.376082,14798704,10413031,0,0,64.23,74.24,24.51,SRR636935,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211675,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211675
Bos_taurus,GSE43013,SRX211579,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.150194,0.108246,16155636,13851205,0,0,58.09,68.05,21.31,SRR636839,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211579,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211579
Bos_taurus,GSE43013,SRX211580,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.254173,0.195819,15144520,12210235,0,0,58.32,67.9,21.47,SRR636840,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211580,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Bos_taurus/Bos_taurus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211580
Caenorhabditis_elegans,SRP000401,SRX099902,UBERON:0000468,multi-cellular organism,UBERON:0000106,zygote stage,not annotated,N2,Illumina HiSeq 2000,single,NA,0,0,1755180,1725140,0,0,20.07,44.53,3.89,SRR350954,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX099902,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099902
Caenorhabditis_elegans,SRP000401,SRX037186,UBERON:0000468,multi-cellular organism,UBERON:0000107,cleavage stage,not annotated,N2,Illumina Genome Analyzer II,single,NA,0.224606,0.382378,90765593,84756735,0,0,35.59,66.19,7.16,SRR089784|SRR089785|SRR089786,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX037186,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX037186
Caenorhabditis_elegans,SRP000401,SRX004863,UBERON:0000468,multi-cellular organism,UBERON:0000107,cleavage stage,not annotated,NA,Illumina Genome Analyzer II,single,NA,1.696093,1.714324,38246864,27863847,0,0,58.12,82.8,8.68,SRR016669|SRR016670,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX004863,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX004863
Caenorhabditis_elegans,SRP000401,SRX085217,UBERON:0000468,multi-cellular organism,UBERON:0000109,gastrula stage,not annotated,N2,Illumina Genome Analyzer II,paired,NA,0.431279,0.464033,3384227,3320326,0,0,23.44,49.64,5.43,SRR316753,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX085217,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX085217
Caenorhabditis_elegans,SRP000401,SRX099907,UBERON:0000468,multi-cellular organism,UBERON:0007232,2 cell stage,not annotated,N2,Illumina HiSeq 2000,single,NA,0.513433,0.662729,944553,910801,0,0,21.15,46.05,4.54,SRR350957,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX099907,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099907
Caenorhabditis_elegans,SRP000401,SRX099908,UBERON:0000468,multi-cellular organism,UBERON:0007232,2 cell stage,not annotated,N2,Illumina HiSeq 2000,single,NA,0.410374,0.508929,5436972,5300935,0,0,21.89,47.61,5.18,SRR350956,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX099908,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099908
Caenorhabditis_elegans,SRP000401,SRX099915,UBERON:0000468,multi-cellular organism,WBls:0000009,28-cell embryo Ce (C elegans),not annotated,N2,Illumina HiSeq 2000,single,NA,0.323326,0.415789,23469028,22905380,0,0,29.08,61.36,6.79,SRR350958,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX099915,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099915
Caenorhabditis_elegans,SRP000401,SRX004866,UBERON:0000468,multi-cellular organism,WBls:0000021,fully-elongated embryo Ce (C elegans),not annotated,N2,Illumina Genome Analyzer II,single,NA,0.640769,1.218119,55550848,40546315,0,0,47.22,70.71,7.53,SRR016676|SRR016677|SRR016678|SRR016687,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX004866,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX004866
Caenorhabditis_elegans,SRP000401,SRX047446,UBERON:0000468,multi-cellular organism,WBls:0000021,fully-elongated embryo Ce (C elegans),not annotated,N2,Illumina Genome Analyzer II,single,NA,0.189061,0.482618,58257296,50840446,0,0,38.91,71.94,8.08,SRR124255|SRR124256|SRR124257,SRA,http://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=viewer&m=data&s=viewer&run=SRX047446,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX047446
