event_id	gene	s_exonID	type	paths	alt_paths	tr_path	tr_alt_path	E_path_species	E_alt_path_species	path_species	alt_path_species	path_values	alt_path_values	Ec_path	Ec_alt_path	Rc_path	Rc_alt_path	diff_path	diff_alt_path
6	FXR1	7_0	I	2_4,7_0,12_3	2_4,12_3	ENSGGOT00000058649,ENSSSCT00000027021,ENSSSCT00000053011	ENSGGOT00000022213,ENSGGOT00000049450,ENSGGOT00000055761,ENSOANT00000017501,ENSSSCT00000012881,ENST00000357559,ENST00000480918	gorilla_gorilla,sus_scrofa	gorilla_gorilla,homo_sapiens,ornithorhynchus_anatinus,sus_scrofa	bos_taurus,gorilla_gorilla,sus_scrofa,xenopus_tropicalis	bos_taurus,danio_rerio,gorilla_gorilla,homo_sapiens,macaca_mulatta,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[1.4893532694356698e-05, 0, 2.9103844880905713e-06, 0]	[3.1425540616082755e-05, 0, 0, 0, 0, 1.6628962724571867e-05, 0, 2.447760727344837e-05, 0.0001672838996811835]	2	4	4	9	2	5
6	FXR1	7_0	I	2_4,7_0,12_3,1_2	2_4,1_2					gorilla_gorilla,sus_scrofa	bos_taurus,danio_rerio,gorilla_gorilla,homo_sapiens,macaca_mulatta,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[2.3905834081586898e-05, 1.3959604563872076e-05]	[0, 0, 0, 0, 4.039865258639274e-05, 0, 0.00030149824862102766, 2.4390684258976396e-05, 0.00027861128266144184]	0	0	2	9	2	9
6	FXR1	7_0	I	2_4,7_0,12_3,5_0	2_4,5_0					bos_taurus,gorilla_gorilla,sus_scrofa,xenopus_tropicalis	bos_taurus,danio_rerio,gorilla_gorilla,homo_sapiens,macaca_mulatta,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[2.3905834081586898e-05, 0.00015121227777560188, 1.3959604563872076e-05, 0.0009616046673787213]	[0, 0, 0, 0, 4.039865258639274e-05, 0, 2.4390684258976396e-05, 0.00027861128266144184]	0	0	4	8	4	8
6	FXR1	7_0	I	2_4,7_0,5_0	2_4,5_0					bos_taurus,sus_scrofa,xenopus_tropicalis	bos_taurus,danio_rerio,gorilla_gorilla,homo_sapiens,macaca_mulatta,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[8.776411077117897e-06, 0, 0]	[0, 0, 0, 0, 4.039865258639274e-05, 0, 2.4390684258976396e-05, 0.00027861128266144184]	0	0	3	8	3	8
6	FXR1	7_0	I	2_4,7_0,1_2	2_4,1_2					bos_taurus,sus_scrofa,xenopus_tropicalis	bos_taurus,danio_rerio,gorilla_gorilla,homo_sapiens,macaca_mulatta,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[8.776411077117897e-06, 0, 0]	[0, 0, 0, 0, 4.039865258639274e-05, 0, 0.00030149824862102766, 2.4390684258976396e-05, 0.00027861128266144184]	0	0	3	9	3	9
7	TPM1	2_0	I	6_1,2_0,2_1,2_2	6_1,2_2	ENSBTAT00000074743,ENSGGOT00000029809,ENSMMUT00000002245,ENSSSCT00000050713,ENST00000357980	ENSBTAT00000044796,ENSGGOT00000009167,ENSGGOT00000049026,ENSGGOT00000054203,ENSGGOT00000056944,ENSGGOT00000060629,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002247,ENSMMUT00000002249,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000050905,ENSMUST00000113685,ENSMUST00000113697,ENSMUST00000113707,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000048044,ENSRNOT00000057641,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000061453,ENST00000288398,ENST00000358278,ENST00000403994,ENST00000559556,ENST00000560970,ENST00000610733,ENSXETT00000021409	bos_taurus,gorilla_gorilla,homo_sapiens,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,sus_scrofa	gorilla_gorilla,homo_sapiens,monodelphis_domestica,sus_scrofa,xenopus_tropicalis	[2.7733283670996286e-05, 9.128070305327821e-06, 0.0003468447598722687]	[0.0006930386945549948, 0.0007580700015824231, 0.0002593063937872579, 0.01851496625624026, 0.024227736136746718]	4	8	3	5	-1	-3
7	TPM1	2_0	I	6_1,2_0,2_2	6_1,2_2	ENSSSCT00000038839,ENSSSCT00000056861,ENSSSCT00000065037	ENSBTAT00000044796,ENSGGOT00000009167,ENSGGOT00000049026,ENSGGOT00000054203,ENSGGOT00000056944,ENSGGOT00000060629,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002247,ENSMMUT00000002249,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000050905,ENSMUST00000113685,ENSMUST00000113697,ENSMUST00000113707,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000048044,ENSRNOT00000057641,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000061453,ENST00000288398,ENST00000358278,ENST00000403994,ENST00000559556,ENST00000560970,ENST00000610733,ENSXETT00000021409	sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,sus_scrofa	gorilla_gorilla,homo_sapiens,monodelphis_domestica,sus_scrofa,xenopus_tropicalis	[1.4145611612211744e-05, 1.7806354307946818e-05, 0.0006771741559469668]	[0.0006930386945549948, 0.0007580700015824231, 0.0002593063937872579, 0.01851496625624026, 0.024227736136746718]	1	8	3	5	2	-3
7	TPM1	2_0	I	6_1,2_0,2_1,2_2,7_1	6_1,7_1					gorilla_gorilla,homo_sapiens,sus_scrofa	homo_sapiens,xenopus_tropicalis	[0.0003810362433068065, 8.49336018314221e-05, 0.0103579355488665]	[1.5766557948576716e-07, 2.0398972887228525e-06]	0	0	3	2	3	2
7	TPM1	2_0	I	6_1,2_0,2_1,7_1	6_1,7_1					gorilla_gorilla,homo_sapiens,sus_scrofa	homo_sapiens,xenopus_tropicalis	[2.7733283670996286e-05, 2.07607203459701e-05, 0.0007897033151687794]	[1.5766557948576716e-07, 2.0398972887228525e-06]	0	0	3	2	3	2
8	TPM1	11_0	E	1_1,11_0,13_0	1_1,9_0,9_1,13_0	ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENSGGOT00000009167,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000056944,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000048044,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENST00000267996,ENST00000334895,ENST00000357980,ENST00000403994,ENST00000558910,ENST00000559556,ENST00000560970,ENST00000561266,ENST00000651577/ENST00000651704,ENSXETT00000021409	ENSBTAT00000067328,ENSGGOT00000027330,ENSGGOT00000060629,ENSGGOT00000065148,ENSMMUT00000002246,ENSMMUT00000002247,ENSMUST00000050905,ENSMUST00000113696,ENSMUST00000113697,ENSRNOT00000040808,ENSRNOT00000057641,ENSSSCT00000038839,ENSSSCT00000045362,ENST00000288398,ENST00000317516,ENST00000358278,ENST00000404484,ENST00000559397,ENST00000560959,ENSXETT00000003279	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	[0.00030525936349390647, 0.005451446850309589, 0.014000851922781655, 0.0004033601660802115, 0.0006721782009343597, 0.011462970243344688, 0.013943795780252167, 0.0003031420710186991, 0.03099286049488413]	[3.3255072166967165e-05, 0.0013844230371202453, 0.000815147634513138]	9	7	9	3	0	-4
8	TPM1	9_0	E	1_1,9_0,9_1,13_0	1_1,11_0,13_0	ENSBTAT00000067328,ENSGGOT00000027330,ENSGGOT00000060629,ENSGGOT00000065148,ENSMMUT00000002246,ENSMMUT00000002247,ENSMUST00000050905,ENSMUST00000113696,ENSMUST00000113697,ENSRNOT00000040808,ENSRNOT00000057641,ENSSSCT00000038839,ENSSSCT00000045362,ENST00000288398,ENST00000317516,ENST00000358278,ENST00000404484,ENST00000559397,ENST00000560959,ENSXETT00000003279	ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENSGGOT00000009167,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000056944,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000048044,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENST00000267996,ENST00000334895,ENST00000357980,ENST00000403994,ENST00000558910,ENST00000559556,ENST00000560970,ENST00000561266,ENST00000651577/ENST00000651704,ENSXETT00000021409	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	[3.3255072166967165e-05, 0.0013844230371202453, 0.000815147634513138]	[0.00030525936349390647, 0.005451446850309589, 0.014000851922781655, 0.0004033601660802115, 0.0006721782009343597, 0.011462970243344688, 0.013943795780252167, 0.0003031420710186991, 0.03099286049488413]	7	9	3	9	-4	0
9	TPM2	2_0	E	4_2,2_0,11_0	4_2,2_2,11_0	ENSBTAT00000046179,ENSDART00000163182,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312,ENST00000378292/ENST00000378300,ENST00000647435	ENSBTAT00000015186,ENSDART00000158994,ENSDART00000170872,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022922,ENSMODT00000009441,ENSMUST00000107913,ENSRNOT00000022801,ENSSSCT00000053274/ENSSSCT00000056326,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000607559	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	[0.003282220680120275, 6.427597207941184e-05, 0.00043426297447187454, 0.00035963200658318563, 4.440272564498873e-05, 0.002275759151045196]	[0.005417315907399118, 7.563164377939993e-06, 0.00020488852562342724, 0.0034545252886797086, 0.004127710396131363, 4.8221661360461436e-05, 0.06596782259180672]	6	7	6	7	0	0
9	TPM2	2_0	E	4_2,2_0,2_2,5_0	4_2,11_0,5_0					bos_taurus,homo_sapiens	bos_taurus,homo_sapiens,mus_musculus,rattus_norvegicus	[0.0010853893949807267, 0.000675772551760807]	[0.0013720851839162794, 0.002038831708658162, 0.0028967912920494277, 0.02574895129730135]	0	0	2	4	2	4
9	TPM2	2_0	E	4_2,2_0,11_0,5_0	4_2,2_2,5_0					bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens	[0.004118430624404469, 0.00011111863635880571, 0.0012041477175192925, 0.001598510195688567, 6.422944890065528e-05, 0.018682656879399535]	[0.0026469458552861114, 0.032079293531131675]	0	0	6	2	6	2
9	TPM2	2_2	E	4_2,2_2,11_0	4_2,2_0,11_0	ENSBTAT00000015186,ENSDART00000158994,ENSDART00000170872,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022922,ENSMODT00000009441,ENSMUST00000107913,ENSRNOT00000022801,ENSSSCT00000053274/ENSSSCT00000056326,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000607559	ENSBTAT00000046179,ENSDART00000163182,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312,ENST00000378292/ENST00000378300,ENST00000647435	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	[0.005417315907399118, 7.563164377939993e-06, 0.00020488852562342724, 0.0034545252886797086, 0.004127710396131363, 4.8221661360461436e-05, 0.06596782259180672]	[0.003282220680120275, 6.427597207941184e-05, 0.00043426297447187454, 0.00035963200658318563, 4.440272564498873e-05, 0.002275759151045196]	7	6	7	6	0	0
9	TPM2	2_2	E	2_0,2_2,5_0	2_0,11_0,5_0					bos_taurus,homo_sapiens	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	[9.432483361127819e-07, 4.425965665180402e-05]	[0.004550505092471726, 0.00013272094669616072, 0.0015620268299815342, 0.0022248990017322604, 6.781538427597751e-05, 0.027054586148109894]	0	0	2	6	2	6
9	TPM2	2_2	E	4_2,2_2,5_0	4_2,11_0,5_0					bos_taurus,homo_sapiens	bos_taurus,homo_sapiens,mus_musculus,rattus_norvegicus	[0.0026469458552861114, 0.032079293531131675]	[0.0013720851839162794, 0.002038831708658162, 0.0028967912920494277, 0.02574895129730135]	0	0	2	4	2	4
9	TPM2	2_2	E	4_2,2_2,5_0	4_2,2_0,11_0,5_0					bos_taurus,homo_sapiens	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	[0.0026469458552861114, 0.032079293531131675]	[0.004118430624404469, 0.00011111863635880571, 0.0012041477175192925, 0.001598510195688567, 6.422944890065528e-05, 0.018682656879399535]	0	0	2	6	2	6
10	TPM3	6_0	E	4_2,6_0,10_0	4_2,6_1,10_0	ENSBTAT00000047197,ENSDART00000010997,ENSDART00000188025,ENSMMUT00000015108,ENSMMUT00000045900,ENSMMUT00000045901,ENSRNOT00000023567,ENSSSCT00000007183,ENST00000328159,ENST00000368530,ENST00000368531,ENST00000368533	ENSBTAT00000013077,ENSDART00000027598,ENSDART00000151375,ENSDART00000183745,ENSMMUT00000015103/ENSMMUT00000015107,ENSMMUT00000015106,ENSMODT00000021907,ENSRNOT00000023605,ENSRNOT00000029076,ENSSSCT00000007182,ENSSSCT00000040499,ENSSSCT00000058770,ENST00000302206,ENST00000323144,ENST00000330188,ENST00000650886/ENST00000651641	bos_taurus,homo_sapiens,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa	[0.00043786655686753827, 0.00011451817130475134, 0.0005985414583425433, 0.0013640550041311042]	[0.000641675545253017, 5.027857505019584e-05, 2.8266738218505263e-05, 8.953265540255687e-05, 0.017203027853851034]	4	5	4	5	0	0
10	TPM3	6_1	E	4_2,6_1,10_0	4_2,6_0,10_0	ENSBTAT00000013077,ENSDART00000027598,ENSDART00000151375,ENSDART00000183745,ENSMMUT00000015103/ENSMMUT00000015107,ENSMMUT00000015106,ENSMODT00000021907,ENSRNOT00000023605,ENSRNOT00000029076,ENSSSCT00000007182,ENSSSCT00000040499,ENSSSCT00000058770,ENST00000302206,ENST00000323144,ENST00000330188,ENST00000650886/ENST00000651641	ENSBTAT00000047197,ENSDART00000010997,ENSDART00000188025,ENSMMUT00000015108,ENSMMUT00000045900,ENSMMUT00000045901,ENSRNOT00000023567,ENSSSCT00000007183,ENST00000328159,ENST00000368530,ENST00000368531,ENST00000368533	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa	bos_taurus,homo_sapiens,rattus_norvegicus,sus_scrofa	[0.000641675545253017, 5.027857505019584e-05, 2.8266738218505263e-05, 8.953265540255687e-05, 0.017203027853851034]	[0.00043786655686753827, 0.00011451817130475134, 0.0005985414583425433, 0.0013640550041311042]	5	4	5	4	0	0
