gene	s_exonID	type	Species_Ensembl	Species_rnaseq	paths	alt_paths	rna_c	Ens_c	diff
KIF1A	10_1	I	bos_taurus,homo_sapiens,gorilla_gorilla,mus_musculus	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus	27_1,10_1,25_0	27_1,25_0	6	4	2
KIF1A	10_1	I		bos_taurus,homo_sapiens,monodelphis_domestica,mus_musculus	27_1,10_1,33_2	27_1,33_2	4	0	4
KIF1B	37_1	I	homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	homo_sapiens,ornithorhynchus_anatinus,sus_scrofa,monodelphis_domestica,mus_musculus,rattus_norvegicus,xenopus_tropicalis	7_0,37_1,52_0	7_0,52_0	7	4	3
KIF1B	7_1	I	mus_musculus,rattus_norvegicus	mus_musculus,rattus_norvegicus	22_0,7_1,4_0,4_1	22_0,4_1	2	2	0
KIF1B	7_1	I	homo_sapiens,gorilla_gorilla,macaca_mulatta	gorilla_gorilla,homo_sapiens,sus_scrofa	22_0,7_1,4_2	22_0,4_2	3	3	0
KIF1B	7_1	I		gorilla_gorilla,homo_sapiens,ornithorhynchus_anatinus,sus_scrofa,monodelphis_domestica	22_0,7_1,4_0	22_0,4_0	5	0	5
MYO1B	11_1	I	bos_taurus,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa,mus_musculus	11_0,11_1,11_3	11_0,11_3	7	5	2
MYO1B	11_1	I	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,sus_scrofa		11_0,11_1,11_3,15_1	11_0,15_1	0	5	-5
MYO1B	11_1	I	macaca_mulatta,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa,mus_musculus	11_0,11_1,15_1	11_0,15_1	6	2	4
MYO1B	11_3	I	bos_taurus,gorilla_gorilla,macaca_mulatta,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,rattus_norvegicus,sus_scrofa,mus_musculus	11_0,11_3,15_1	11_0,15_1	6	4	2
MYO1B	11_3	I	macaca_mulatta,sus_scrofa	bos_taurus,homo_sapiens,monodelphis_domestica,sus_scrofa,mus_musculus	11_1,11_3,15_1	11_1,15_1	5	2	3
MYO1B	11_3	I		sus_scrofa,mus_musculus	5_1,11_3,15_1	5_1,15_1	2	0	2
DNM1	11_0	E	bos_taurus,homo_sapiens,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,homo_sapiens,sus_scrofa	18_0,11_0,17_0	18_0,11_1,11_2,17_0	3	5	-2
DNM1	11_1	E	bos_taurus,homo_sapiens,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,homo_sapiens,sus_scrofa	18_0,11_1,11_2,17_0	18_0,11_0,17_0	3	5	-2
DNM1	7_2	I	bos_taurus,macaca_mulatta,mus_musculus	bos_taurus,homo_sapiens,mus_musculus,rattus_norvegicus	22_0,7_2,14_0	22_0,14_0	4	3	1
DNM1	15_1	I		bos_taurus,homo_sapiens	13_0,15_1,6_0	13_0,6_0	2	0	2
DNM2	11_1	E	homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	gorilla_gorilla,homo_sapiens,mus_musculus,sus_scrofa	21_0,11_1,11_2,18_0	21_0,11_3,11_4,18_0	4	5	-1
DNM2	11_3	E	homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	gorilla_gorilla,homo_sapiens,mus_musculus,sus_scrofa	21_0,11_3,11_4,18_0	21_0,11_1,11_2,18_0	4	5	-1
DNM2	1_0	I	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	22_0,1_0,12_1	22_0,12_1	5	6	-1
DNM3	20_1	I	bos_taurus,gorilla_gorilla,macaca_mulatta,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,monodelphis_domestica,ornithorhynchus_anatinus,sus_scrofa,rattus_norvegicus	24_0,20_1,14_0	24_0,14_0	6	5	1
DNM3	8_1	I	homo_sapiens,gorilla_gorilla	gorilla_gorilla,homo_sapiens	9_0,8_1,6_0	9_0,6_0	2	2	0
FYN	4_2	E	homo_sapiens,gorilla_gorilla,mus_musculus,rattus_norvegicus,sus_scrofa	mus_musculus,rattus_norvegicus	6_0,4_2,3_0	6_0,4_0,4_1,3_0	2	5	-3
FYN	4_2	E	homo_sapiens,gorilla_gorilla,rattus_norvegicus,sus_scrofa		6_0,4_2,3_0,3_1	6_0,3_0,3_1	0	4	-4
FYN	4_0	E	homo_sapiens,gorilla_gorilla,mus_musculus,rattus_norvegicus,sus_scrofa	mus_musculus,rattus_norvegicus	6_0,4_0,4_1,3_0	6_0,4_2,3_0	2	5	-3
SRC	10_0	I	danio_rerio,gorilla_gorilla,mus_musculus,rattus_norvegicus,sus_scrofa	gorilla_gorilla,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	12_0,10_0,13_0	12_0,13_0	5	5	0
SRC	10_0	I	danio_rerio,gorilla_gorilla,mus_musculus,rattus_norvegicus,sus_scrofa	gorilla_gorilla,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	12_0,10_0,13_0	12_0,13_0	5	5	0
SNAP-25	3_1	E	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,sus_scrofa	6_0,3_1,3_2,3_3,3_5,3_6,2_0	6_0,3_0,2_0	5	6	-1
SNAP-25	3_1	E		bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus	3_0,3_1,3_2,3_3,3_5,3_6,1_1	3_0,2_0,1_1	4	0	4
SNAP-25	3_1	E		gorilla_gorilla,homo_sapiens	6_0,3_1,3_2,3_3,3_5,3_6,1_1	6_0,2_0,1_1	2	0	2
SNAP-25	3_0	E	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,sus_scrofa	6_0,3_0,2_0	6_0,3_1,3_2,3_3,3_5,3_6,2_0	5	6	-1
SNAP-25	3_0	E		bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus	6_0,3_0,2_0,1_1	6_0,3_1,3_2,3_3,3_5,3_6,1_1	4	0	4
SNAP-25	3_0	E		gorilla_gorilla,homo_sapiens	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	6_0,2_0,1_1	2	0	2
SNAP-25	3_0	E		bos_taurus,homo_sapiens	7_0,3_0,3_1	7_0,6_0,3_1	2	0	2
NEBL	13_0	I	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,sus_scrofa		3_0,13_0,4_0,11_0	3_0,11_0	0	5	-5
NEBL	13_0	I		monodelphis_domestica,sus_scrofa,bos_taurus,gorilla_gorilla,homo_sapiens,rattus_norvegicus	3_0,13_0,11_0	3_0,11_0	6	0	6
NEBL	13_0	I		monodelphis_domestica,sus_scrofa	3_0,13_0,2_0	3_0,2_0	2	0	2
MAPK8	12_0	E	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,homo_sapiens,sus_scrofa	4_0,12_0,3_0	4_0,12_1,3_0	3	6	-3
MAPK8	12_1	E	bos_taurus,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,sus_scrofa	bos_taurus,homo_sapiens,sus_scrofa	4_0,12_1,3_0	4_0,12_0,3_0	3	6	-3
MAPK9	10_0	E	bos_taurus,gorilla_gorilla,macaca_mulatta,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,mus_musculus,rattus_norvegicus,sus_scrofa,gorilla_gorilla	3_0,10_0,2_2	3_0,10_1,2_2	5	6	-1
MAPK9	10_1	E	bos_taurus,gorilla_gorilla,macaca_mulatta,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,mus_musculus,rattus_norvegicus,sus_scrofa,gorilla_gorilla	3_0,10_1,2_2	3_0,10_0,2_2	5	6	-1
MAPK10	13_0	E	bos_taurus,homo_sapiens,gorilla_gorilla,mus_musculus,sus_scrofa	sus_scrofa,bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus	2_0,13_0,3_0	2_0,13_1,3_0	5	5	0
MAPK10	13_1	E	bos_taurus,homo_sapiens,gorilla_gorilla,mus_musculus,sus_scrofa	sus_scrofa,bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus	2_0,13_1,3_0	2_0,13_0,3_0	5	5	0
MAPK10	14_1	I	danio_rerio,homo_sapiens,gorilla_gorilla,macaca_mulatta,mus_musculus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis		start,14_1,4_0,4_1	start,4_1	0	8	-8
